Question,Category,Difficulty
What is the capital of France?,Geography,Easy
Who wrote 'Romeo and Juliet'?,Literature,Medium
What is 7 multiplied by 8?,Mathematics,Easy
Which planet is known as the Red Planet?,Science,Easy
In what year did the Titanic sink?,History,Medium
What is the chemical symbol for gold?,Science,Medium
Who painted the Mona Lisa?,Art,Easy
What is the largest ocean on Earth?,Geography,Medium
Solve for x: 2x + 5 = 15,Mathematics,Easy
Who discovered penicillin?,Science,Hard
What is the tallest mountain in the world?,Geography,Easy
Who is the author of '1984'?,Literature,Medium
What is the square root of 64?,Mathematics,Easy
Which gas do plants absorb from the atmosphere?,Science,Easy
In which year did World War II end?,History,Medium
What is the chemical formula for water?,Science,Easy
Who painted the Starry Night?,Art,Medium
Which country has the largest population?,Geography,Medium
Solve for y: 3y – 9 = 0,Mathematics,Easy
Who developed the theory of relativity?,Science,Hard
What is the currency of Japan?,Economics,Easy
Name the longest river in the world.,Geography,Medium
Who wrote the play 'Hamlet'?,Literature,Medium
What is 15% of 200?,Mathematics,Easy
Which planet has the most moons?,Science,Medium
When did India gain independence?,History,Medium
What element does 'O' represent on the periodic table?,Science,Easy
Who sculpted David?,Art,Hard
What is the capital city of Australia?,Geography,Easy
Simplify: 5(2x – 3),Mathematics,Medium
